# According to https://scriptures.nephi.org/ this is licensed under public domain
ai.sql.MormonScriptures,seed
volumeId, bookId, chapterId, verseId, volumeTitle, bookTitle, volumeLongTitle, bookLongTitle, volumeSubtitle, bookSubtitle, volumeShortTitle, bookShortTitle, volumeLdsUrl, bookLdsUrl, chapterNumber, verseNumber, scriptureText, verseTitle, verseShortTitle
1,19,492,14085,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,14,4,"Have all the workers of iniquity no knowledge? who eat up my people as they eat bread, and call not upon the Lord.","Psalms 14:4","Ps. 14:4"
1,19,492,14086,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,14,5,"There were they in great fear: for God is in the generation of the righteous.","Psalms 14:5","Ps. 14:5"
1,19,492,14087,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,14,6,"Ye have shamed the counsel of the poor, because the Lord is his refuge.","Psalms 14:6","Ps. 14:6"
1,19,492,14088,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,14,7,"Oh that the salvation of Israel were come out of Zion! when the Lord bringeth back the captivity of his people, Jacob shall rejoice, and Israel shall be glad.","Psalms 14:7","Ps. 14:7"
1,19,493,14089,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,15,1,"Lord, who shall abide in thy tabernacle? who shall dwell in thy holy hill?","Psalms 15:1","Ps. 15:1"
1,19,493,14090,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,15,2,"He that walketh uprightly, and worketh righteousness, and speaketh the truth in his heart.","Psalms 15:2","Ps. 15:2"
1,19,493,14091,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,15,3,"He that backbiteth not with his tongue, nor doeth evil to his neighbour, nor taketh up a reproach against his neighbour.","Psalms 15:3","Ps. 15:3"
1,19,493,14092,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,15,4,"In whose eyes a vile person is contemned; but he honoureth them that fear the Lord. He that sweareth to his own hurt, and changeth not.","Psalms 15:4","Ps. 15:4"
1,19,493,14093,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,15,5,"He that putteth not out his money to usury, nor taketh reward against the innocent. He that doeth these things shall never be moved.","Psalms 15:5","Ps. 15:5"
1,19,494,14094,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,16,1,"Preserve me, O God: for in thee do I put my trust.","Psalms 16:1","Ps. 16:1"
1,19,494,14095,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,16,2,"O my soul, thou hast said unto the Lord, Thou art my Lord: my goodness extendeth not to thee;","Psalms 16:2","Ps. 16:2"
1,19,494,14096,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,16,3,"But to the saints that are in the earth, and to the excellent, in whom is all my delight.","Psalms 16:3","Ps. 16:3"
1,19,494,14097,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,16,4,"Their sorrows shall be multiplied that hasten after another god: their drink offerings of blood will I not offer, nor take up their names into my lips.","Psalms 16:4","Ps. 16:4"
1,19,494,14098,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,16,5,"The Lord is the portion of mine inheritance and of my cup: thou maintainest my lot.","Psalms 16:5","Ps. 16:5"
1,19,494,14099,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,16,6,"The lines are fallen unto me in pleasant places; yea, I have a goodly heritage.","Psalms 16:6","Ps. 16:6"
1,19,494,14100,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,16,7,"I will bless the Lord, who hath given me counsel: my reins also instruct me in the night seasons.","Psalms 16:7","Ps. 16:7"
1,19,494,14101,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,16,8,"I have set the Lord always before me: because he is at my right hand, I shall not be moved.","Psalms 16:8","Ps. 16:8"
1,19,494,14102,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,16,9,"Therefore my heart is glad, and my glory rejoiceth: my flesh also shall rest in hope.","Psalms 16:9","Ps. 16:9"
1,19,494,14103,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,16,10,"For thou wilt not leave my soul in hell; neither wilt thou suffer thine Holy One to see corruption.","Psalms 16:10","Ps. 16:10"
1,19,494,14104,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,16,11,"Thou wilt shew me the path of life: in thy presence is fulness of joy; at thy right hand there are pleasures for evermore.","Psalms 16:11","Ps. 16:11"
1,19,495,14105,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,17,1,"Hear the right, O Lord, attend unto my cry, give ear unto my prayer, that goeth not out of feigned lips.","Psalms 17:1","Ps. 17:1"
1,19,495,14106,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,17,2,"Let my sentence come forth from thy presence; let thine eyes behold the things that are equal.","Psalms 17:2","Ps. 17:2"
1,19,495,14107,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,17,3,"Thou hast proved mine heart; thou hast visited me in the night; thou hast tried me, and shalt find nothing; I am purposed that my mouth shall not transgress.","Psalms 17:3","Ps. 17:3"
1,19,495,14108,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,17,4,"Concerning the works of men, by the word of thy lips I have kept me from the paths of the destroyer.","Psalms 17:4","Ps. 17:4"
1,19,495,14109,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,17,5,"Hold up my goings in thy paths, that my footsteps slip not.","Psalms 17:5","Ps. 17:5"
1,19,495,14110,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,17,6,"I have called upon thee, for thou wilt hear me, O God: incline thine ear unto me, and hear my speech.","Psalms 17:6","Ps. 17:6"
1,19,495,14111,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,17,7,"Shew thy marvellous lovingkindness, O thou that savest by thy right hand them which put their trust in thee from those that rise up against them.","Psalms 17:7","Ps. 17:7"
